date,month,quarter,year,department,daily_cost,sessions,tokens_used,monthly_budget,cumulative_monthly_cost,budget_used_pct
2024-03-01,2024-03,Q1 2024,2024,Engineering,0.1808,2,29220,400,0.1808,0.05
2024-03-04,2024-03,Q1 2024,2024,Engineering,0.0143,1,24563,400,0.1951,0.05
2024-03-06,2024-03,Q1 2024,2024,Engineering,0.1136,1,15603,400,0.3087,0.08
2024-03-08,2024-03,Q1 2024,2024,Engineering,0.0757,2,25390,400,0.3844,0.1
2024-03-10,2024-03,Q1 2024,2024,Engineering,0.0157,1,27878,400,0.4001,0.1
2024-03-11,2024-03,Q1 2024,2024,Engineering,0.0129,1,24456,400,0.413,0.1
2024-03-12,2024-03,Q1 2024,2024,Engineering,0.0393,3,56592,400,0.4523,0.11
2024-03-13,2024-03,Q1 2024,2024,Engineering,0.0529,1,106115,400,0.5052,0.13
2024-03-14,2024-03,Q1 2024,2024,Engineering,0.1379,2,75462,400,0.6431,0.16
2024-03-15,2024-03,Q1 2024,2024,Engineering,0.4858,2,103870,400,1.1289,0.28
2024-03-18,2024-03,Q1 2024,2024,Engineering,0.0793,1,14153,400,1.2082,0.3
2024-03-21,2024-03,Q1 2024,2024,Engineering,0.0157,1,25356,400,1.2239,0.31
2024-03-22,2024-03,Q1 2024,2024,Engineering,0.4051,2,91331,400,1.629,0.41
2024-03-23,2024-03,Q1 2024,2024,Engineering,0.0129,1,14053,400,1.6419,0.41
2024-03-25,2024-03,Q1 2024,2024,Engineering,0.4366,2,101677,400,2.0785,0.52
2024-03-26,2024-03,Q1 2024,2024,Engineering,0.0278,3,50074,400,2.1063,0.53
2024-03-28,2024-03,Q1 2024,2024,Engineering,0.0693,1,114946,400,2.1756,0.54
2024-03-29,2024-03,Q1 2024,2024,Engineering,0.0071,1,15075,400,2.1827,0.55
2024-04-01,2024-04,Q2 2024,2024,Engineering,0.0564,3,116315,400,0.0564,0.01
2024-04-02,2024-04,Q2 2024,2024,Engineering,0.0922,1,17704,400,0.1486,0.04
2024-04-04,2024-04,Q2 2024,2024,Engineering,0.0736,2,96075,400,0.2222,0.06
2024-04-08,2024-04,Q2 2024,2024,Engineering,0.1529,1,21962,400,0.3751,0.09
2024-04-09,2024-04,Q2 2024,2024,Engineering,0.02,1,23206,400,0.3951,0.1
2024-04-10,2024-04,Q2 2024,2024,Engineering,0.0315,2,66917,400,0.4266,0.11
2024-04-11,2024-04,Q2 2024,2024,Engineering,0.01,1,13217,400,0.4366,0.11
2024-04-12,2024-04,Q2 2024,2024,Engineering,0.1007,1,17204,400,0.5373,0.13
2024-04-15,2024-04,Q2 2024,2024,Engineering,0.2086,3,368180,400,0.7459,0.19
2024-04-16,2024-04,Q2 2024,2024,Engineering,0.0578,2,90259,400,0.8037,0.2
2024-04-17,2024-04,Q2 2024,2024,Engineering,0.6617,6,193928,400,1.4654,0.37
2024-04-18,2024-04,Q2 2024,2024,Engineering,0.025,2,114109,400,1.4904,0.37
2024-04-19,2024-04,Q2 2024,2024,Engineering,0.7994,3,201676,400,2.2898,0.57
2024-04-22,2024-04,Q2 2024,2024,Engineering,0.0264,4,148474,400,2.3162,0.58
2024-04-24,2024-04,Q2 2024,2024,Engineering,0.0879,4,189050,400,2.4041,0.6
2024-04-25,2024-04,Q2 2024,2024,Engineering,0.0193,1,34923,400,2.4234,0.61
2024-04-26,2024-04,Q2 2024,2024,Engineering,0.0772,1,100649,400,2.5006,0.63
2024-04-29,2024-04,Q2 2024,2024,Engineering,0.04,2,140959,400,2.5406,0.64
2024-04-30,2024-04,Q2 2024,2024,Engineering,0.0085,2,33829,400,2.5491,0.64
2024-05-01,2024-05,Q2 2024,2024,Engineering,0.0171,1,21190,400,0.0171,0.0
2024-05-02,2024-05,Q2 2024,2024,Engineering,0.1494,3,76790,400,0.1665,0.04
2024-05-03,2024-05,Q2 2024,2024,Engineering,0.1807,2,54056,400,0.3472,0.09
2024-05-05,2024-05,Q2 2024,2024,Engineering,0.0164,1,41696,400,0.3636,0.09
2024-05-06,2024-05,Q2 2024,2024,Engineering,0.1658,1,24148,400,0.5294,0.13
2024-05-07,2024-05,Q2 2024,2024,Engineering,0.1164,2,46555,400,0.6458,0.16
2024-05-08,2024-05,Q2 2024,2024,Engineering,0.6888,8,329993,400,1.3346,0.33
2024-05-09,2024-05,Q2 2024,2024,Engineering,0.2101,1,36080,400,1.5447,0.39
2024-05-10,2024-05,Q2 2024,2024,Engineering,0.3252,3,114615,400,1.8699,0.47
2024-05-13,2024-05,Q2 2024,2024,Engineering,1.9941,4,303167,400,3.864,0.97
2024-05-14,2024-05,Q2 2024,2024,Engineering,0.3758,3,115664,400,4.2398,1.06
2024-05-15,2024-05,Q2 2024,2024,Engineering,1.8963,2,344982,400,6.1361,1.53
2024-05-16,2024-05,Q2 2024,2024,Engineering,0.4902,4,162557,400,6.6263,1.66
2024-05-17,2024-05,Q2 2024,2024,Engineering,1.4976,3,251990,400,8.1239,2.03
2024-05-18,2024-05,Q2 2024,2024,Engineering,0.0579,3,88294,400,8.1818,2.05
2024-05-19,2024-05,Q2 2024,2024,Engineering,0.2394,1,31401,400,8.4212,2.11
2024-05-20,2024-05,Q2 2024,2024,Engineering,0.0265,2,158593,400,8.4477,2.11
2024-05-21,2024-05,Q2 2024,2024,Engineering,0.0464,2,80278,400,8.4941,2.12
2024-05-22,2024-05,Q2 2024,2024,Engineering,1.0238,3,191338,400,9.5179,2.38
2024-05-23,2024-05,Q2 2024,2024,Engineering,0.4873,2,79556,400,10.0052,2.5
2024-05-24,2024-05,Q2 2024,2024,Engineering,0.0429,4,128654,400,10.0481,2.51
2024-05-26,2024-05,Q2 2024,2024,Engineering,0.0507,1,88481,400,10.0988,2.52
2024-05-27,2024-05,Q2 2024,2024,Engineering,0.6223,2,68332,400,10.7211,2.68
2024-05-28,2024-05,Q2 2024,2024,Engineering,0.0707,3,244996,400,10.7918,2.7
2024-05-29,2024-05,Q2 2024,2024,Engineering,0.6702,1,105643,400,11.462,2.87
2024-05-30,2024-05,Q2 2024,2024,Engineering,0.2565,4,119187,400,11.7185,2.93
2024-05-31,2024-05,Q2 2024,2024,Engineering,0.3358,3,116752,400,12.0543,3.01
2024-06-01,2024-06,Q2 2024,2024,Engineering,0.4437,2,71912,400,0.4437,0.11
2024-06-03,2024-06,Q2 2024,2024,Engineering,1.7326,3,238079,400,2.1763,0.54
2024-06-04,2024-06,Q2 2024,2024,Engineering,0.1193,2,271625,400,2.2956,0.57
2024-06-05,2024-06,Q2 2024,2024,Engineering,0.8538,3,208013,400,3.1494,0.79
2024-06-06,2024-06,Q2 2024,2024,Engineering,2.152,5,438741,400,5.3014,1.33
2024-06-07,2024-06,Q2 2024,2024,Engineering,0.3051,1,43361,400,5.6065,1.4
2024-06-08,2024-06,Q2 2024,2024,Engineering,0.3187,1,54043,400,5.9252,1.48
2024-06-10,2024-06,Q2 2024,2024,Engineering,0.6666,4,398603,400,6.5918,1.65
2024-06-11,2024-06,Q2 2024,2024,Engineering,2.3321,5,578360,400,8.9239,2.23
2024-06-12,2024-06,Q2 2024,2024,Engineering,0.4251,2,102299,400,9.349,2.34
2024-06-13,2024-06,Q2 2024,2024,Engineering,2.9717,7,905872,400,12.3207,3.08
2024-06-14,2024-06,Q2 2024,2024,Engineering,1.5419,8,505610,400,13.8626,3.47
2024-06-16,2024-06,Q2 2024,2024,Engineering,0.0957,1,126227,400,13.9583,3.49
2024-06-17,2024-06,Q2 2024,2024,Engineering,0.4588,5,305938,400,14.4171,3.6
2024-06-18,2024-06,Q2 2024,2024,Engineering,0.6187,3,118759,400,15.0358,3.76
2024-06-19,2024-06,Q2 2024,2024,Engineering,0.2937,4,174966,400,15.3295,3.83
2024-06-20,2024-06,Q2 2024,2024,Engineering,0.9789,4,204296,400,16.3084,4.08
2024-06-21,2024-06,Q2 2024,2024,Engineering,2.9501,6,510269,400,19.2585,4.81
2024-06-22,2024-06,Q2 2024,2024,Engineering,0.0329,1,55243,400,19.2914,4.82
2024-06-23,2024-06,Q2 2024,2024,Engineering,0.7816,2,129342,400,20.073,5.02
2024-06-24,2024-06,Q2 2024,2024,Engineering,3.6046,4,444607,400,23.6776,5.92
2024-06-25,2024-06,Q2 2024,2024,Engineering,4.0576,3,544102,400,27.7352,6.93
2024-06-26,2024-06,Q2 2024,2024,Engineering,1.4847,4,244936,400,29.2199,7.3
2024-06-27,2024-06,Q2 2024,2024,Engineering,1.3597,3,271360,400,30.5796,7.64
2024-06-28,2024-06,Q2 2024,2024,Engineering,0.3895,3,425803,400,30.9691,7.74
2024-07-01,2024-07,Q3 2024,2024,Engineering,1.7326,5,296280,400,1.7326,0.43
2024-07-02,2024-07,Q3 2024,2024,Engineering,2.6423,8,498133,400,4.3749,1.09
2024-07-03,2024-07,Q3 2024,2024,Engineering,4.4156,11,1156834,400,8.7905,2.2
2024-07-04,2024-07,Q3 2024,2024,Engineering,6.0338,11,1221659,400,14.8243,3.71
2024-07-05,2024-07,Q3 2024,2024,Engineering,2.8466,3,391559,400,17.6709,4.42
2024-07-08,2024-07,Q3 2024,2024,Engineering,8.0015,13,1133252,400,25.6724,6.42
2024-07-09,2024-07,Q3 2024,2024,Engineering,2.9617,7,552558,400,28.6341,7.16
2024-07-10,2024-07,Q3 2024,2024,Engineering,2.1378,5,332397,400,30.7719,7.69
2024-07-11,2024-07,Q3 2024,2024,Engineering,8.5595,10,1332884,400,39.3314,9.83
2024-07-12,2024-07,Q3 2024,2024,Engineering,5.6295,6,970550,400,44.9609,11.24
2024-07-15,2024-07,Q3 2024,2024,Engineering,6.8013,7,1402450,400,51.7622,12.94
2024-07-16,2024-07,Q3 2024,2024,Engineering,3.223,7,1057236,400,54.9852,13.75
2024-07-17,2024-07,Q3 2024,2024,Engineering,5.6581,8,910807,400,60.6433,15.16
2024-07-18,2024-07,Q3 2024,2024,Engineering,4.6578,7,905200,400,65.3011,16.33
2024-07-19,2024-07,Q3 2024,2024,Engineering,3.7283,11,1093436,400,69.0294,17.26
2024-07-22,2024-07,Q3 2024,2024,Engineering,3.2314,14,1089423,400,72.2608,18.07
2024-07-23,2024-07,Q3 2024,2024,Engineering,2.5744,8,624364,400,74.8352,18.71
2024-07-24,2024-07,Q3 2024,2024,Engineering,1.1346,4,317693,400,75.9698,18.99
2024-07-25,2024-07,Q3 2024,2024,Engineering,2.5028,6,634616,400,78.4726,19.62
2024-07-26,2024-07,Q3 2024,2024,Engineering,1.8921,8,609056,400,80.3647,20.09
2024-07-28,2024-07,Q3 2024,2024,Engineering,0.4279,3,373910,400,80.7926,20.2
2024-07-29,2024-07,Q3 2024,2024,Engineering,1.1888,5,421451,400,81.9814,20.5
2024-07-30,2024-07,Q3 2024,2024,Engineering,5.095,12,1775900,400,87.0764,21.77
2024-07-31,2024-07,Q3 2024,2024,Engineering,0.5688,4,383440,400,87.6452,21.91
2024-08-01,2024-08,Q3 2024,2024,Engineering,3.4661,13,1739966,400,3.4661,0.87
2024-08-02,2024-08,Q3 2024,2024,Engineering,4.3499,8,825140,400,7.816,1.95
2024-08-03,2024-08,Q3 2024,2024,Engineering,1.8605,2,489374,400,9.6765,2.42
2024-08-04,2024-08,Q3 2024,2024,Engineering,0.2336,1,41440,400,9.9101,2.48
2024-08-05,2024-08,Q3 2024,2024,Engineering,1.5076,8,915609,400,11.4177,2.85
2024-08-06,2024-08,Q3 2024,2024,Engineering,2.5729,12,1037414,400,13.9906,3.5
2024-08-07,2024-08,Q3 2024,2024,Engineering,2.3986,9,995123,400,16.3892,4.1
2024-08-08,2024-08,Q3 2024,2024,Engineering,10.6287,16,2258441,400,27.0179,6.75
2024-08-09,2024-08,Q3 2024,2024,Engineering,7.3049,12,2041226,400,34.3228,8.58
2024-08-11,2024-08,Q3 2024,2024,Engineering,0.0829,3,169230,400,34.4057,8.6
2024-08-12,2024-08,Q3 2024,2024,Engineering,3.7297,6,698592,400,38.1354,9.53
2024-08-13,2024-08,Q3 2024,2024,Engineering,21.3282,23,3499162,400,59.4636,14.87
2024-08-14,2024-08,Q3 2024,2024,Engineering,3.9618,8,1070595,400,63.4254,15.86
2024-08-15,2024-08,Q3 2024,2024,Engineering,1.5961,5,640683,400,65.0215,16.26
2024-08-16,2024-08,Q3 2024,2024,Engineering,7.6155,14,2108756,400,72.637,18.16
2024-08-17,2024-08,Q3 2024,2024,Engineering,4.877,6,1304443,400,77.514,19.38
2024-08-18,2024-08,Q3 2024,2024,Engineering,0.6216,2,91495,400,78.1356,19.53
2024-08-19,2024-08,Q3 2024,2024,Engineering,6.3633,15,2286996,400,84.4989,21.12
2024-08-20,2024-08,Q3 2024,2024,Engineering,12.1242,13,1950378,400,96.6231,24.16
2024-08-21,2024-08,Q3 2024,2024,Engineering,3.4645,13,1640257,400,100.0876,25.02
2024-08-22,2024-08,Q3 2024,2024,Engineering,6.1037,11,1407945,400,106.1913,26.55
2024-08-23,2024-08,Q3 2024,2024,Engineering,10.3528,17,3106431,400,116.5441,29.14
2024-08-26,2024-08,Q3 2024,2024,Engineering,6.9978,11,1635576,400,123.5419,30.89
2024-08-27,2024-08,Q3 2024,2024,Engineering,8.7752,15,1858034,400,132.3171,33.08
2024-08-28,2024-08,Q3 2024,2024,Engineering,11.3981,18,2248129,400,143.7152,35.93
2024-08-29,2024-08,Q3 2024,2024,Engineering,3.3759,8,1439844,400,147.0911,36.77
2024-08-30,2024-08,Q3 2024,2024,Engineering,8.9669,12,1773920,400,156.058,39.01
2024-09-02,2024-09,Q3 2024,2024,Engineering,7.2693,16,2654916,400,7.2693,1.82
2024-09-03,2024-09,Q3 2024,2024,Engineering,9.1754,19,2592056,400,16.4447,4.11
2024-09-04,2024-09,Q3 2024,2024,Engineering,8.1444,14,2089243,400,24.5891,6.15
2024-09-05,2024-09,Q3 2024,2024,Engineering,6.0712,15,2133455,400,30.6603,7.67
2024-09-06,2024-09,Q3 2024,2024,Engineering,5.8509,16,2377033,400,36.5112,9.13
2024-09-08,2024-09,Q3 2024,2024,Engineering,0.9482,3,344409,400,37.4594,9.36
2024-09-09,2024-09,Q3 2024,2024,Engineering,9.7493,13,1885379,400,47.2087,11.8
2024-09-10,2024-09,Q3 2024,2024,Engineering,6.9899,14,2388816,400,54.1986,13.55
2024-09-11,2024-09,Q3 2024,2024,Engineering,12.2613,24,3139662,400,66.4599,16.61
2024-09-12,2024-09,Q3 2024,2024,Engineering,18.6576,27,4616793,400,85.1175,21.28
2024-09-13,2024-09,Q3 2024,2024,Engineering,13.609,19,2884509,400,98.7265,24.68
2024-09-14,2024-09,Q3 2024,2024,Engineering,1.4369,5,496423,400,100.1634,25.04
2024-09-16,2024-09,Q3 2024,2024,Engineering,17.2335,22,3930692,400,117.3969,29.35
2024-09-17,2024-09,Q3 2024,2024,Engineering,7.1806,22,2890827,400,124.5775,31.14
2024-09-18,2024-09,Q3 2024,2024,Engineering,17.5242,18,3539472,400,142.1017,35.53
2024-09-19,2024-09,Q3 2024,2024,Engineering,7.462,13,1581757,400,149.5637,37.39
2024-09-20,2024-09,Q3 2024,2024,Engineering,12.5136,15,3069307,400,162.0773,40.52
2024-09-21,2024-09,Q3 2024,2024,Engineering,0.8295,2,204292,400,162.9068,40.73
2024-09-22,2024-09,Q3 2024,2024,Engineering,3.2109,4,556975,400,166.1177,41.53
2024-09-23,2024-09,Q3 2024,2024,Engineering,8.5887,18,2917111,400,174.7064,43.68
2024-09-24,2024-09,Q3 2024,2024,Engineering,11.9561,14,2322288,400,186.6625,46.67
2024-09-25,2024-09,Q3 2024,2024,Engineering,17.3314,18,3197025,400,203.9939,51.0
2024-09-26,2024-09,Q3 2024,2024,Engineering,4.6441,17,2514999,400,208.638,52.16
2024-09-27,2024-09,Q3 2024,2024,Engineering,10.4687,19,2301726,400,219.1067,54.78
2024-09-30,2024-09,Q3 2024,2024,Engineering,21.0804,23,5017664,400,240.1871,60.05
2024-10-01,2024-10,Q4 2024,2024,Engineering,23.5819,26,5292139,400,23.5819,5.9
2024-10-02,2024-10,Q4 2024,2024,Engineering,27.7066,30,5242708,400,51.2885,12.82
2024-10-03,2024-10,Q4 2024,2024,Engineering,23.6018,31,4975020,400,74.8903,18.72
2024-10-04,2024-10,Q4 2024,2024,Engineering,28.5146,29,6453025,400,103.4049,25.85
2024-10-05,2024-10,Q4 2024,2024,Engineering,3.3203,7,1097612,400,106.7252,26.68
2024-10-07,2024-10,Q4 2024,2024,Engineering,13.9518,17,3328764,400,120.677,30.17
2024-10-08,2024-10,Q4 2024,2024,Engineering,18.0886,29,4382172,400,138.7656,34.69
2024-10-09,2024-10,Q4 2024,2024,Engineering,13.3837,16,3358346,400,152.1493,38.04
2024-10-10,2024-10,Q4 2024,2024,Engineering,15.2647,22,3984356,400,167.414,41.85
