budget_id,period,quarter,year,department,category,budget_amount,actual_amount,variance,variance_pct,status,approved_by,notes
BVA-000001,2020-01,Q1 2020,2020,Sales,Revenue,326343.08,231612.08,-94731.0,-29.03,Under Budget,MGR-15,Revenue — Sales — Jan 2020
BVA-000002,2020-01,Q1 2020,2020,Sales,COGS,102479.76,104102.04,1622.28,1.58,Over Budget,MGR-11,COGS — Sales — Jan 2020
BVA-000003,2020-01,Q1 2020,2020,Sales,Sales & Mkt,156196.53,178175.0,21978.47,14.07,Over Budget,MGR-07,Sales & Mkt — Sales — Jan 2020
BVA-000004,2020-01,Q1 2020,2020,Sales,R&D,555543.86,391488.19,-164055.67,-29.53,Under Budget,MGR-05,R&D — Sales — Jan 2020
BVA-000005,2020-01,Q1 2020,2020,Sales,G&A,583861.87,597352.13,13490.26,2.31,Over Budget,MGR-11,G&A — Sales — Jan 2020
BVA-000006,2020-01,Q1 2020,2020,Sales,Payroll,477390.36,611901.95,134511.59,28.18,Over Budget,MGR-15,Payroll — Sales — Jan 2020
BVA-000007,2020-01,Q1 2020,2020,Sales,CapEx,129609.43,149080.59,19471.16,15.02,Over Budget,MGR-09,CapEx — Sales — Jan 2020
BVA-000008,2020-01,Q1 2020,2020,Sales,Tax,598247.49,597486.44,-761.05,-0.13,Under Budget,MGR-06,Tax — Sales — Jan 2020
BVA-000009,2020-01,Q1 2020,2020,Engineering,Revenue,479869.36,391143.84,-88725.52,-18.49,Under Budget,MGR-11,Revenue — Engineering — Jan 2020
BVA-000010,2020-01,Q1 2020,2020,Engineering,COGS,492791.18,549462.66,56671.48,11.5,Over Budget,MGR-10,COGS — Engineering — Jan 2020
BVA-000011,2020-01,Q1 2020,2020,Engineering,Sales & Mkt,583143.64,570134.38,-13009.26,-2.23,Under Budget,MGR-13,Sales & Mkt — Engineering — Jan 2020
BVA-000012,2020-01,Q1 2020,2020,Engineering,R&D,285505.12,381239.41,95734.29,33.53,Over Budget,MGR-10,R&D — Engineering — Jan 2020
BVA-000013,2020-01,Q1 2020,2020,Engineering,G&A,225580.24,289322.39,63742.15,28.26,Over Budget,MGR-02,G&A — Engineering — Jan 2020
BVA-000014,2020-01,Q1 2020,2020,Engineering,Payroll,78283.61,103522.38,25238.77,32.24,Over Budget,MGR-15,Payroll — Engineering — Jan 2020
BVA-000015,2020-01,Q1 2020,2020,Engineering,CapEx,569959.72,507091.63,-62868.09,-11.03,Under Budget,MGR-04,CapEx — Engineering — Jan 2020
BVA-000016,2020-01,Q1 2020,2020,Engineering,Tax,236582.02,314716.14,78134.12,33.03,Over Budget,MGR-06,Tax — Engineering — Jan 2020
