payroll_id,date,month,quarter,year,type,employee_id,department,role,employment_type,base_salary_annual,gross_monthly_pay,bonus,taxes_withheld,net_pay,currency,status
PAY-000001,2024-05-08,2024-05,Q2 2024,2024,Payroll,EMP-0001,Support,Technical Writer,Full-time,71413.36,5951.11,561.86,1701.66,4811.31,USD,Processed
PAY-000002,2024-06-07,2024-06,Q2 2024,2024,Payroll,EMP-0001,Support,Technical Writer,Full-time,71413.36,5951.11,1156.75,1709.52,5398.34,USD,Processed
PAY-000003,2024-07-07,2024-07,Q3 2024,2024,Payroll,EMP-0001,Support,Technical Writer,Full-time,71413.36,5951.11,314.51,1779.93,4485.69,USD,Processed
PAY-000004,2024-08-06,2024-08,Q3 2024,2024,Payroll,EMP-0001,Support,Technical Writer,Full-time,71413.36,5951.11,184.22,1530.54,4604.79,USD,Processed
PAY-000005,2024-09-05,2024-09,Q3 2024,2024,Payroll,EMP-0001,Support,Technical Writer,Full-time,71413.36,5951.11,1016.13,1458.03,5509.21,USD,Processed
PAY-000006,2024-10-05,2024-10,Q4 2024,2024,Payroll,EMP-0001,Support,Technical Writer,Full-time,71413.36,5951.11,927.99,1743.62,5135.48,USD,Processed
PAY-000007,2023-05-09,2023-05,Q2 2023,2023,Payroll,EMP-0002,Legal,Compliance Officer,Full-time,149490.51,12457.54,2430.8,2844.11,12044.23,USD,Processed
PAY-000008,2023-06-08,2023-06,Q2 2023,2023,Payroll,EMP-0002,Legal,Compliance Officer,Full-time,149490.51,12457.54,1846.13,3182.98,11120.69,USD,Processed
PAY-000009,2023-07-08,2023-07,Q3 2023,2023,Payroll,EMP-0002,Legal,Compliance Officer,Full-time,149490.51,12457.54,260.58,3092.85,9625.27,USD,Processed
PAY-000010,2023-08-07,2023-08,Q3 2023,2023,Payroll,EMP-0002,Legal,Compliance Officer,Full-time,149490.51,12457.54,2749.23,2895.53,12311.24,USD,Processed
PAY-000011,2023-09-06,2023-09,Q3 2023,2023,Payroll,EMP-0002,Legal,Compliance Officer,Full-time,149490.51,12457.54,187.45,3183.39,9461.6,USD,Processed
PAY-000012,2023-10-06,2023-10,Q4 2023,2023,Payroll,EMP-0002,Legal,Compliance Officer,Full-time,149490.51,12457.54,1906.57,3689.5,10674.61,USD,Processed
PAY-000013,2023-11-05,2023-11,Q4 2023,2023,Payroll,EMP-0002,Legal,Compliance Officer,Contract,149490.51,12457.54,240.58,2883.08,9815.04,USD,Processed
PAY-000014,2023-12-05,2023-12,Q4 2023,2023,Payroll,EMP-0002,Legal,Compliance Officer,Full-time,149490.51,12457.54,1617.42,3385.62,10689.34,USD,Processed
